# Constructed from biom file																																											
#OTU ID	pcrblank	negcontrol1	TMI3	PN1	PN3	PN2	500M2	500M3	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	2KM3	1KM1	2KM1	taxonomy
239583853	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1369	0	0	0	0	1227	0	1	1	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Pomacentridae
41350610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Perciformes; so__Scorpaenoidei; f__Sebastidae; g__Sebastes
239583854	0	0	122	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1047	0	0	0	549	0	0	1	718	0	1	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Pomacentridae
557468236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	76	0	0	0	0	0	0	0	0	0	0	7	0	93	1	19	0	23	26	34	0	0	0	0	sc__NA; c__Mammalia; sc__NA; ic__NA; o__Cetacea; so__Odontoceti; f__Delphinidae; g__Tursiops; s__Tursiops-truncatus
426260619	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Clupeiformes; so__Clupeoidei; f__Clupeidae; g__Clupea; s__Clupea-harengus
578003638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Scombriformes; so__NA; f__Scombridae; g__Thunnus; s__Thunnus-maccoyii
817161707	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	532	0	0	0	210	70	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Lutjanidae; g__Lutjanus
1041013909	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__NA; f__Monacanthidae; g__Cantherhines
1002820915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Beloniformes; so__Belonoidei; f__Exocoetidae; g__Cheilopogon
405779031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1525	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Anguilliformes; so__NA; f__Muraenidae; g__Gymnothorax; s__Gymnothorax-unicolor
405779034	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Anguilliformes; so__NA; f__Muraenidae; g__Gymnomuraena; s__Gymnomuraena-zebra
405779035	0	0	60	3843	334	315	0	0	0	0	0	1	0	0	0	0	0	1	0	0	968	746	272	0	0	3	2	168	110	0	110	1	66	0	669	1	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Anguilliformes; so__NA; f__Muraenidae; g__Gymnothorax; s__Gymnothorax-miliaris
405779036	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	878	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Anguilliformes; so__NA; f__Muraenidae; g__Gymnothorax
239583781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Pomacentridae; g__Abudefduf; s__Abudefduf-vaigiensis
157679344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	2	1	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Pomacanthidae; g__Centropyge
577027887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Scombriformes; so__NA; f__Scombridae; g__Thunnus
256353375	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920	0	0	0	0	25506	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Pempheriformes; so__NA; f__Pentacerotidae
589388017	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	111	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Carangiformes; so__NA; f__Carangidae; g__Decapterus
139000766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	641	1	98	0	0	1	0	0	0	0	1	0	0	0	1	8436	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__NA; f__Ostraciidae; g__Ostracion
669175240	9	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Perciformes; so__Cottioidei
194351311	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Labriformes; so__NA; f__Labridae; g__Scarus; s__Scarus-frenatus
429536728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Centrarchiformes; so__NA; f__Kyphosidae; g__Kyphosus
14588619	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Carangiformes; so__NA; f__Carangidae; g__Trachurus; s__Trachurus-japonicus
239583863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Pomacentridae; g__Pomacentrus
723005497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Perciformes; so__Scorpaenoidei; f__Scorpaenidae; g__Pterois; s__Pterois-volitans
194351296	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	1	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Labriformes; so__NA; f__Labridae; g__Scarus
86604646	3	0	0	0	0	0	0	0	0	0	0	0	1605	590	0	0	0	439	0	4137	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	16170	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__Moloidei; f__Molidae
